,text,actual,pred
1,secara teknis begal itu dijalanan ambil motornya kalau aku ngambilnya jangan sampe ketauan yang punya nanti dikira pamer,neg,neg
2,bukan hanya di jalanan ada klompok begal di pemerintanpun akan ada klompok begal waspada,neg,neg
3,terjatuh saat kabur begal dimassa beraksi di lapang golf ciperna,neg,neg
4,pria ini jadi korban begal di desa sidogiri pasuruan desacikadu,neg,neg
5,begal merajalela di jalan krakatau sampai memukul korban hingga masuk rumah sakit,neg,neg
6,begal payudara beraksi modusnya bekap remas,neg,neg
7,karyawan indomaret korban begal begalmotor walikota,neg,neg
9,aksi begal motor satu orang tewas,neg,neg
10,begal di medan sudah biasa bermanuver di jalanan kota terang terangan mereka bergerak dari pagi malam terlalu beresiko,neg,neg
11,di daerah simalingkar begal semakin parah ya jadi seram kalau pulang malam,neg,neg
12,sudah banyak begal kenapa tidak ada solusi untk keamanan kota medan jangan biarkan penyakit ini,neg,neg
13,berikut adalah lokasi rawan begal di medan hati hati bung,neg,neg
14,kalau diliat lihat dari kemaren berita penipuan olshop ya apalagi yang soal saya,neg,neg
15,pembodohan apalagi ini ngakunya sudah di bap ternyata penipuan publik lagi biar terlihat keren ya allah ke,neg,neg
16,lihat kasus penipuan yang lagi marak hati hati kalau mau beli tiket konser atau album ya jangan tergiur dengan harga,neg,neg
17,yarabb penipuan macam apa ini anjing,neg,neg
18,ada kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan on,neg,neg
19,masih ada saja modus penipuan atasnamakan institusi pemerintah sobatbkn sudah lebih cerdas memilah kebenaran informasi jika main,neg,neg
20,lagi viral penipuan arisan online bawa kabur uang m dalam waktu bln,neg,neg
21,hati kawan modus penipuan lama via sms,neg,neg
22,penipuan modus seleksi cpns ibu muda di tebing rp juta,neg,neg
23,seram ya begal sekarang jadi seram keluar malam buat beli makan,neg,neg
24,suami hati hati lho bu sekarang modus penipuan minta nomer hp lah pin bb lah nomor rekening,neg,neg
25,hai adi waspada terhadap tindak penipuan yang mengatasnamakan go jek pastikan anda tidak memberikan,neg,neg
26,saya warga daerah medan belakangan ini ada beberapa kasus jambret dan pencurian motor mohon disidik terima kasih,neg,neg
27,mantap polres ringkus jagoan pencurian motor,pos,pos
29,pencurian di daerah sini saya jadi was was,neg,neg
30,korban pencurian motor dengan paksa yang memakan korban jiwa,neg,neg
31,kepergok mencuri pria ini di hajar sampai babak belur,pos,neg
32,mencuri di toko pria ini dihajar sampai mampus,pos,neg
33,pura pura sholat eko mencuri uang dari kotak amal di masjid gadak otak kontol,neg,neg
34,heboh pencurian mobil menggunakan radio jamming,neg,neg
35,bodoh anjeng demi pacar pria ini curi hp,neg,neg
36,seram beeeet ada pencuri ngambil barang di sepeda motor waktu si babi lagi parkir indomaret,neg,neg
37,kalau syariat qishash ditegakkan orang bakal mikir kali mau melakukan aksi pembunuhan lainnya,neg,neg
38,pembunuhan di area kompleks rumah bukan karena hp saja ternyata ini penyebabnya,neg,neg
39,bersimbah darah dan terdapat bekas cekikan mayat diduga korban pembunuhan baru medan,neg,neg
40,pasca terungkapnya komplotan pelaku pembunuhan pengusaha airsoft gun di jalan ahmad yani kesawan medan kini sejumlah warga masih takut akan keamanan di wilayah pusat pertokoan perlengkapan olahraga,neg,neg
41,motif pembunuhan zaman sekarang lucu kenapa saya bilang lucu karena temanya percintaan kalau temanya narkoba okelah,neg,neg
42,btw mantan kapolda sumut y klau tidak salah yang pernah jadi brita waktu itu antara dibunuh or bunuh diri gimana tuh endingnya,neg,neg
43,klau yang pendeta bunuh selingkuhan dan di senggami setelah mati di kamar mandi gereja kamu kabarkan dasar mahluk kalabong,neg,neg
44,nggak mungkin lah bicara tanpa data bisa bunuh diri namanya apalagi di tonton puluhan juta rakyat indonesia laporan nya sudah masuk di polda sumut cuma nggak di proses saja ironis sekali,neg,neg
45,lebih baik dibunuh langsung ini antek antek si maringan sangat berbahaya minhoo ini pencuri di pertanian,neg,neg
46,gila emg begal tuh otaknya kemana ya sampe bunuh ibu hamil lebih parahnya lagi ada anaknya dia lihat dengan jelas gimana di tembak dan di tusuk nya,neg,neg
47,polisi tangkap pria di kasus penipuan berkedok peminjaman uang,pos,pos
48,muzdalifah dilaporkan ke polisi karena kasus penipuan apakah benar nassar penyebabnya jangan lewatkan updetan sta,neg,neg
49,anggota patroli kepolisian sektor kasokandel laksanakan patroli malam cegah c curat curas dan curanmor serta,pos,pos
50,polisi tembak begal di depan kampus usu,pos,pos
