text,cluster
begal merajalela di jalan krakatau sampai memukul korban hingga masuk rumah sakit,1
begal payudara beraksi modusnya bekap remas,1
karyawan indomaret korban begal begalmotor walikota,1
aksi begal motor satu orang tewas,1
begal di medan sudah biasa bermanuver di jalanan kota terang terangan mereka bergerak dari pagi malam terlalu beresiko,1
di daerah simalingkar begal semakin parah ya jadi seram kalau pulang malam,1
sudah banyak begal kenapa tidak ada solusi untk keamanan kota medan jangan biarkan penyakit ini,1
berikut adalah lokasi rawan begal di medan hati hati bung,1
kalau diliat lihat dari kemaren banyak berita penipuan olshop ya apalagi yang soal saya,2
pembodohan apalagi ini ngakunya sudah di bap ternyata penipuan publik lagi biar terlihat keren ya allah ke,2
lihat kasus penipuan yang lagi marak hati hati kalau mau beli tiket konser atau album ya jangan tergiur dengan harga,2
yarabb penipuan macam apa ini anjing,2
ada banyak kasus penipuan yang terjadi di online shop salah satunya penjualan cd kpop ini dia kasus penipuan on,2
masih ada saja modus penipuan atasnamakan institusi pemerintah sobatbkn sudah lebih cerdas memilah kebenaran informasi jika main,2
lagi viral penipuan arisan online bawa kabur uang m dalam waktu bln,2
hati kawan modus penipuan lama via sms,2
penipuan modus seleksi cpns ibu muda di tebing rp juta,2
seram ya begal sekarang jadi seram keluar malam buat beli makan,1
suami hati hati lho bu sekarang banyak modus penipuan minta nomer hp lah pin bb lah nomor rekening,2
hai adi waspada terhadap tindak penipuan yang mengatasnamakan go jek pastikan anda tidak memberikan,2
banyak pencurian di daerah sini saya jadi was was,3
korban pencurian motor dengan paksa yang memakan korban jiwa,3
kepergok mencuri pria ini di hajar sampai babak belur,3
mencuri di toko pria ini dihajar sampai mampus,3
pura pura sholat eko mencuri uang dari kotak amal di masjid gadak otak kontol,3
bodoh anjeng demi pacar pria ini curi hp,3
seram beeeet ada pencuri ngambil barang di sepeda motor waktu si babi lagi parkir indomaret,3
kalau syariat qishash ditegakkan orang bakal mikir kali mau melakukan aksi pembunuhan lainnya,4
pembunuhan di area kompleks rumah bukan karena hp saja ternyata ini penyebabnya,4
bersimbah darah dan terdapat bekas cekikan mayat diduga korban pembunuhan baru medan,4
pasca terungkapnya komplotan pelaku pembunuhan pengusaha airsoft gun di jalan ahmad yani kesawan medan kini sejumlah warga masih takut akan keamanan di wilayah pusat pertokoan perlengkapan olahraga,4
motif pembunuhan zaman sekarang lucu kenapa saya bilang lucu karena temanya percintaan kalau temanya narkoba okelah,4
btw mantan kapolda sumut y klau tidak salah yang pernah jadi brita waktu itu antara dibunuh or bunuh diri gimana tuh endingnya,4
